0,0,0,32,16,2,1,1
0,0,16,32,8,2,2,1
0,0,24,32,8,2,2,1
0,32,0,32,16,2,1,1
0,32,16,32,8,2,2,1
0,32,24,32,8,2,2,1
0,0,32,8,8,3,2,1
0,8,32,8,8,3,2,1
0,0,40,16,8,3,1,1
0,16,32,4,8,4,1,1
0,20,32,4,4,4,2,1
0,20,36,4,4,4,2,1
0,24,32,8,8,4,0,1
0,16,40,8,8,4,0,1
0,24,40,8,8,4,0,1
0,0,48,4,4,4,2,1
0,4,48,4,4,4,2,1
0,0,52,4,4,4,2,1
0,4,52,4,4,4,2,1
0,8,48,8,8,4,0,1
0,0,56,8,8,4,0,1
0,8,56,8,8,4,0,1
0,16,48,4,16,3,2,1
0,20,48,4,4,3,3,1
0,20,52,4,8,3,3,1
0,20,60,4,4,3,3,1
0,24,48,8,16,3,1,1
0,32,32,32,16,2,1,1
0,32,48,32,4,2,3,1
0,32,52,32,4,2,3,1
0,32,56,32,8,2,2,1
0,64,0,32,8,2,1,1
0,64,8,32,16,2,1,1
0,64,24,16,8,2,2,1
0,80,24,8,8,2,3,1
0,88,24,8,8,2,3,1
0,96,0,32,8,2,1,1
0,96,8,32,16,2,1,1
0,96,24,32,4,2,2,1
0,96,28,8,4,2,3,1
0,104,28,16,4,2,3,1
0,120,28,8,4,2,3,1
0,64,32,16,16,3,0,1
0,80,32,4,16,3,2,1
0,84,32,4,16,3,2,1
0,88,32,4,4,3,3,1
0,88,36,4,8,3,3,1
0,88,44,4,4,3,3,1
0,92,32,4,16,3,2,1
0,64,48,16,4,3,1,1
0,64,52,16,8,3,1,1
0,64,60,16,4,3,1,1
0,80,48,8,4,3,3,1
0,80,52,8,4,3,3,1
0,80,56,8,8,3,2,1
0,88,48,4,8,3,3,1
0,88,56,4,8,3,3,1
0,92,48,4,4,3,3,1
0,92,52,4,8,3,3,1
0,92,60,4,4,3,3,1
0,96,32,16,8,3,1,1
0,96,40,16,8,3,1,1
0,112,32,4,16,3,1,1
0,116,32,8,16,3,1,1
0,124,32,4,16,3,1,1
0,96,48,8,4,3,3,1
0,96,52,8,4,3,3,1
0,96,56,8,8,3,2,1
0,104,48,4,8,3,3,1
0,104,56,4,8,3,3,1
0,108,48,4,4,3,3,1
0,108,52,4,8,3,3,1
0,108,60,4,4,3,3,1
0,112,48,16,4,3,1,1
0,112,52,4,8,3,2,1
0,116,52,8,8,3,2,1
0,124,52,4,8,3,2,1
0,112,60,4,4,3,2,1
0,116,60,8,4,3,2,1
0,124,60,4,4,3,2,1
0,0,64,4,8,2,3,1
0,0,72,4,16,2,3,1
0,0,88,4,8,2,3,1
0,4,64,4,32,2,2,1
0,8,64,16,32,2,1,1
0,24,64,4,16,2,3,1
0,24,80,4,16,2,3,1
0,28,64,4,8,2,3,1
0,28,72,4,16,2,3,1
0,28,88,4,8,2,3,1
0,32,64,8,16,3,1,1
0,40,64,8,16,3,1,1
0,48,64,16,8,3,1,1
0,48,72,4,8,3,3,1
0,52,72,4,8,3,3,1
0,56,72,8,8,3,2,1
0,32,80,16,16,3,0,1
0,48,80,4,16,3,1,1
0,52,80,4,8,3,3,1
0,56,80,4,8,3,3,1
0,52,88,4,8,3,3,1
0,56,88,4,8,3,3,1
0,60,80,4,4,3,2,1
0,60,84,4,8,3,2,1
0,60,92,4,4,3,2,1
